Time,Stiffness,Damping,R_shoulder_pan_p,R_shoulder_lift_p,R_elbow_p,R_wrist_1_p,R_wrist_2_p,R_wrist_3_p,R_shoulder_pan_v,R_shoulder_lift_v,R_elbow_v,R_wrist_1_v,R_wrist_2_v,R_wrist_3_v,S_shoulder_pan_p,S_shoulder_lift_p,S_elbow_p,S_wrist_1_p,S_wrist_2_p,S_wrist_3_p,S_shoulder_pan_v,S_shoulder_lift_v,S_elbow_v,S_wrist_1_v,S_wrist_2_v,S_wrist_3_v,C_shoulder_pan_p,C_shoulder_lift_p,C_elbow_p,C_wrist_1_p,C_wrist_2_p,C_wrist_3_p
7.002,600.0,40.0,0.0,-1.081025280661863,0.0,-1.5707963267948966,0.0,0.0,0.0,0.024422227448040387,0.0,0.0,0.0,0.0,-0.00019703614487012787,-1.079267070727223,0.0010858277327025249,-1.5699100267841182,-1.8581896042302172e-05,2.1686486662550342e-08,0.0019474953239179387,-0.020565837076838185,-0.011111283352217931,-0.008906872565850857,0.00022429780207837,5.539784405050294e-07,0.0,-0.8695592258685885,0.0,-1.5707963267948966,0.0,0.0
7.101,600.0,40.0,0.0,-1.0675982195143225,0.0,-1.5707963267948966,0.0,0.0,0.0,0.3018856299062593,0.0,0.0,0.0,0.0,0.0006496403071105131,-1.0112371533133668,-0.002975731937973175,-1.5732929071587913,2.7044554069786854e-05,-8.179852469720267e-07,-0.009810052440632207,2.059597973274111,0.0449735753093599,0.037833245113883154,-0.0003928781259667953,1.3391933065861389e-05,0.0,-0.8675156911359575,0.0,-1.5707963267948966,0.0,0.0
7.202,600.0,40.0,0.0,-1.0246955087624325,0.0,-1.5707963267948966,0.0,0.0,0.0,0.7123965346838389,0.0,0.0,0.0,0.0,0.00019128047248834982,-0.9264829171489493,-0.0007578375331973683,-1.5714642475962886,-1.4875246597855623e-07,-3.814050616549165e-07,-0.01204300066255516,1.8284214759014559,0.06494092102666242,0.053993585408160585,-0.0007670376624514262,1.3663101186498882e-05,0.0,-0.9049223294130256,0.0,-1.5707963267948966,0.0,0.0
7.302,600.0,40.0,0.0,-0.9611837311205731,0.0,-1.5707963267948966,0.0,0.0,0.0,0.5956446600670464,0.0,0.0,0.0,0.0,-0.0002548251313149602,-0.8679396455911462,0.0019823706407418548,-1.5691737959007659,-3.30983021057076e-05,1.9917285190429843e-07,-0.002381443639607115,0.8988935669411372,0.011051514111097067,0.009793911187712804,-9.69824778047172e-06,5.043411094188866e-06,0.0,-0.7227551464438622,0.0,-1.5707963267948966,0.0,0.0
7.402,600.0,40.0,0.0,-0.8895635644355444,0.0,-1.5707963267948966,0.0,0.0,0.0,0.8486160823269016,0.0,0.0,0.0,0.0,-0.00020501512763948553,-0.8027579123841025,0.0018318721306049795,-1.5692963013109094,-3.116932270835391e-05,1.6801807799243648e-07,0.003113392399195052,0.8814348149409592,-0.027680288836659926,-0.0227258583773796,0.00045949996795456284,-2.7363356936507485e-06,0.0,-0.7332715161255399,0.0,-1.5707963267948966,0.0,0.0
7.503,600.0,40.0,0.0,-0.8321800839050688,0.0,-1.5707963267948966,0.0,0.0,0.0,0.732734647239967,0.0,0.0,0.0,0.0,-0.0002453688613598679,-0.7428726073739813,0.002341583088080544,-1.5688648692143166,-3.782644521057639e-05,2.5934519959394713e-07,0.003732874617592182,0.766951911265069,-0.035382175676304306,-0.02925306647208206,0.0005569298569036865,-4.355255445616927e-06,0.0,-0.6544362089728106,0.0,-1.5707963267948966,0.0,0.0
7.605,600.0,40.0,0.0,-0.7503660110878343,0.0,-1.5707963267948966,0.0,0.0,0.0,0.748625591604913,0.0,0.0,0.0,0.0,-0.0001417016098693994,-0.738706025269525,0.0017457437064389732,-1.5693708698214317,-3.1808758105309585e-05,9.672053673509007e-08,0.002160186967886571,0.3068692280595373,-0.026379374175453652,-0.021590457097327147,0.0004692588668963195,-1.8017742257318283e-06,0.0,-0.6533054860391156,0.0,-1.5707963267948966,0.0,0.0
7.701,600.0,40.0,0.0,-0.6916506296770022,0.0,-1.5707963267948966,0.0,0.0,0.0,0.7820187120944896,0.0,0.0,0.0,0.0,0.0003414563279155201,-0.6526845904794206,-0.0023672721896268005,-1.572856015581964,1.5819597870384597e-05,-8.57148783052408e-07,-0.011859843839179563,2.3704754252217857,0.10032135316469055,0.08483542096577286,-0.0011992321019100142,2.165679745762182e-05,0.0,-0.594697399012927,0.0,-1.5707963267948966,0.0,0.0
7.802,600.0,40.0,0.0,-0.6355146656242763,0.0,-1.5707963267948966,0.0,0.0,0.0,0.6907586574659712,0.0,0.0,0.0,0.0,-0.00012910641348288222,-0.5668454490659321,0.0018723819576844198,-1.5692554217881767,-3.339058094696118e-05,1.2991344316239977e-07,0.001968432737505573,1.3110861888709142,-0.02829007366369321,-0.02333879738582895,0.0004921849388116188,-2.2469931518395486e-06,0.0,-0.399632343346839,0.0,-1.5707963267948966,0.0,0.0
7.902,600.0,40.0,0.0,-0.5737052857211626,0.0,-1.5707963267948966,0.0,0.0,0.0,0.9141201139900199,0.0,0.0,0.0,0.0,-4.709017482813045e-05,-0.5198242108063023,0.001100914904381879,-1.569915486264353,-2.520768974749102e-05,-7.524703910311793e-08,0.0007484261585726643,1.3388361942714855,-0.016633507037984257,-0.013347503309151939,0.00037328311851798733,1.0227440617128289e-06,0.0,-0.3843149425066092,0.0,-1.5707963267948966,0.0,0.0
