Time,Stiffness,Damping,R_shoulder_pan_p,R_shoulder_lift_p,R_elbow_p,R_wrist_1_p,R_wrist_2_p,R_wrist_3_p,R_shoulder_pan_v,R_shoulder_lift_v,R_elbow_v,R_wrist_1_v,R_wrist_2_v,R_wrist_3_v,S_shoulder_pan_p,S_shoulder_lift_p,S_elbow_p,S_wrist_1_p,S_wrist_2_p,S_wrist_3_p,S_shoulder_pan_v,S_shoulder_lift_v,S_elbow_v,S_wrist_1_v,S_wrist_2_v,S_wrist_3_v,C_shoulder_pan_p,C_shoulder_lift_p,C_elbow_p,C_wrist_1_p,C_wrist_2_p,C_wrist_3_p
8.703,600.0,30.0,0.0,-1.5707963267948966,1.22281226143422,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,0.40801365526523564,0.0,0.0,0.0,0.00014932861454888536,-1.572238561683229,1.2558620815587043,-1.6552325149461313,-1.6234045441263765,-1.5789743618703118,-0.0007334205852128425,-0.1319399828780085,2.7071349396825175,0.0025296329498105123,1.0578504891158093e-05,6.496517463171607e-06,0.0,-1.5707963267948966,1.4568325022951476,-1.655141228937726,-1.623404528450802,-1.5789738532851736
8.803,600.0,30.0,0.0,-1.5707963267948966,1.2976961664593085,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,1.197418991128032,0.0,0.0,0.0,-7.41946079635493e-07,-1.5705779475855102,1.4557071544968498,-1.655136507988834,-1.6234044109683219,-1.5789743618703118,0.004897037777343166,0.02772413528729456,3.0176030637706472,0.0037908350417812592,0.00010250706805306034,5.5650572037955505e-06,0.0,-1.5707963267948966,1.6417419276364171,-1.655141228937726,-1.623404528450802,-1.5789738532851736
8.903,600.0,30.0,0.0,-1.5707963267948966,1.4168084185998373,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,1.7010690876697858,0.0,0.0,0.0,-8.928834347186886e-05,-1.5672567193900724,1.5125230331926003,-1.6549787156942468,-1.6233997504364142,-1.5789742287122575,0.0015577155609151595,-0.06250866016428225,0.42203829519028646,-0.0024674897502491946,-8.879142270963244e-05,9.549406025059614e-06,0.0,-1.5707963267948966,1.9353443209412204,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.003,600.0,30.0,0.0,-1.5707963267948966,1.5845356981855934,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,1.1671664249636438,0.0,0.0,0.0,-3.114380901068536e-05,-1.5686773826735751,1.6544940203758525,-1.6550037494084935,-1.6234001499105777,-1.5789740955542029,0.0009441101770260615,-0.025840704071903888,0.953152677832357,-0.00103582103156397,-4.805496523774581e-05,7.4823383360917655e-06,0.0,-1.5707963267948966,2.0854861015364525,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.102,600.0,30.0,0.0,-1.5707963267948966,1.7289663198160345,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,1.2260283528732632,0.0,0.0,0.0,3.454473797461501e-05,-1.5682420889934017,1.695583400202467,-1.6549209250985921,-1.6233982856978146,-1.578973829238094,-0.0014495112478029423,-0.06678142333363778,-0.9546744746582556,-0.006089735511832455,-0.0001809558956346312,3.872117860679785e-06,0.0,-1.5707963267948966,2.2453820813771164,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.202,600.0,30.0,0.0,-1.5707963267948966,1.9289552611530303,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,2.657022376770321,0.0,0.0,0.0,2.1074216746352327e-05,-1.5692407744021812,1.8286277377278826,-1.6550118720498184,-1.6234008157008502,-1.578973562921985,-0.0011857897703004068,-0.030633930061450355,0.6610004441412476,-0.002602048304994375,-9.51580909545391e-05,4.147848965034659e-07,0.0,-1.5707963267948966,2.634998456378568,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.303,600.0,30.0,0.0,-1.5707963267948966,2.179578980176846,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,2.6570223767703216,0.0,0.0,0.0,-0.000143434468843582,-1.5703614325888866,1.970898463691823,-1.6551576801195,-1.6234042778102673,-1.578973562921985,0.0030114177764315863,-0.008862998027189104,3.1411345898822995,0.000348255028378525,4.6223788898409045e-07,-3.5742255792546793e-06,0.0,-1.5707963267948966,2.8168648340467315,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.402,733.3333129882812,30.0,0.0,-1.5707963267948966,2.3617233158474877,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,0.3358099106928919,0.0,0.0,0.0,-0.00014423525394552752,-1.5700798033036107,2.1782647030225157,-1.6551286516636183,-1.6234021472813953,-1.578973562921985,0.003089754503851672,-0.014577857725336027,3.140702891469598,-0.0002393895900769965,-3.889772792903974e-05,-3.5244937299457588e-06,0.0,-1.5707963267948966,1.9214645287111303,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.502,733.3333129882812,30.0,0.0,-1.5707963267948966,2.2869496396691105,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,-1.4643000283072933,0.0,0.0,0.0,0.0002876249412412386,-1.5694200051435436,2.2938477585447177,-1.6549785825361922,-1.6233982856978146,-1.578973562921985,-0.005500886667978016,-0.027898913556209416,0.6733214923454719,-0.0032499992993255318,-0.00014005428283891795,-1.6419294723181516e-06,0.0,-1.5707963267948966,1.9120439653329964,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.602,733.3333129882812,30.0,0.0,-1.5707963267948966,2.137961537494636,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,-0.7207170313598945,0.0,0.0,0.0,0.000268159662116771,-1.569771542407434,2.192775069379867,-1.655007877308183,-1.6234004162266868,-1.5789736960800393,-0.006297693022859415,-0.025480540662795096,-2.237247329581155,-0.003257498542492762,-0.00010035110878838569,5.583456065420083e-07,0.0,-1.5707963267948966,1.367576211364883,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.703,733.3333129882812,30.0,0.0,-1.5707963267948966,2.014243591699218,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,-1.6757708840406675,0.0,0.0,0.0,6.258283488976682e-05,-1.5699553005226496,2.0415084515697477,-1.6550663336941105,-1.6234010820169593,-1.5789736960800393,-0.0012629785296490463,-0.02096921859701192,-3.0744256003691226,-0.0018221294863085481,-7.537222958764539e-05,-2.0094243990045573e-06,0.0,-1.5707963267948966,1.6502344585085948,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.803,733.3333129882812,30.0,0.0,-1.5707963267948966,1.8508502261732378,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,-1.7512071173269534,0.0,0.0,0.0,2.9278767260718304e-05,-1.5699057657263742,1.9412163349203995,-1.6550652684296743,-1.6234008157008502,-1.578973829238094,-0.00041831020906116993,-0.022239916782818808,-2.5536705481828106,-0.0018406050363338102,-7.71950417690576e-05,-1.50601625543157e-06,0.0,-1.5707963267948966,1.64127360954339,-1.655141228937726,-1.623404528450802,-1.5789738532851736
9.903,733.3333129882812,30.0,0.0,-1.5707963267948966,1.6410910410294202,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,-2.6570223767703216,0.0,0.0,0.0,-4.003990528308891e-05,-1.5699212120606965,1.7937144947852708,-1.6550843100314685,-1.6234009488589047,-1.5789736960800393,0.001308940554882043,-0.021899186127289187,-3.0137239033268375,-0.0013796922146075818,-7.310476345603992e-05,-2.0352842698227695e-06,0.0,-1.5707963267948966,1.1205832656845822,-1.655141228937726,-1.623404528450802,-1.5789738532851736
10.003,733.3333129882812,30.0,0.0,-1.5707963267948966,1.399984275573214,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,-2.1806838779143036,0.0,0.0,0.0,-9.217980918286306e-05,-1.570066886972324,1.5968336532984377,-1.6551125395390234,-1.6234014814911228,-1.5789736960800393,0.00256754892560754,-0.01828164172928262,-2.8108283125180606,-0.0006843392285233602,-5.89617875506741e-05,-2.129534798910222e-06,0.0,-1.5707963267948966,1.2184141472784475,-1.655141228937726,-1.623404528450802,-1.5789738532851736
10.103,733.3333129882812,30.0,0.0,-1.5707963267948966,1.209248723265521,-1.655141228937726,-1.623404528450802,-1.5789738532851736,0.0,0.0,-1.2901025712728982,0.0,0.0,0.0,-8.787032072298987e-05,-1.5700739443492127,1.45922505713879,-1.6551126726970777,-1.6234018809652864,-1.5789736960800393,0.0024604438166307935,-0.018100704900346955,-2.647559227149118,-0.0006778490087193368,-5.464495605477526e-05,-2.1077849405603673e-06,0.0,-1.5707963267948966,1.104455376397823,-1.655141228937726,-1.623404528450802,-1.5789738532851736
