EXP, ShoulderPan_PE, ShoulderPan_VE, ShoulderLift_PE, \ShoulderLift_VE, Elbow_PE,             Elbow_VE, Wrist1_PE, Wrist1_VE, Wrist2_PE, Wrist2_VE, Wrist3_PE, Wrist3_VE
745, 0.0004, -0.0036, 0.0005, -0.0043, -0.0006, 0.0049, -0.0006, 0.0048, -0.0005, 0.0045, -0.0006, 0.0054
745, 0.0002, -0.0079, 0.0006, 0.0025, 0.0005, 0.0265, -0.0006, -0.0056, -0.0002, 0.0066, 0.0002, 0.0201
745, -0.0001, -0.0055, 0.0009, -0.0000, 0.0023, 0.0120, -0.0010, -0.0030, 0.0002, 0.0033, 0.0014, 0.0102
745, -0.0004, -0.0070, 0.0013, 0.0023, 0.0041, 0.0193, -0.0015, -0.0067, 0.0005, 0.0040, 0.0026, 0.0152
745, -0.0007, -0.0040, 0.0017, -0.0016, 0.0058, 0.0028, -0.0020, -0.0015, 0.0008, 0.0012, 0.0037, 0.0040
745, -0.0011, -0.0054, 0.0022, 0.0004, 0.0077, 0.0100, -0.0027, -0.0043, 0.0011, 0.0021, 0.0051, 0.0089
745, -0.0014, -0.0061, 0.0026, 0.0013, 0.0095, 0.0134, -0.0033, -0.0057, 0.0014, 0.0026, 0.0063, 0.0112
745, -0.0019, -0.0050, 0.0032, -0.0002, 0.0119, 0.0077, -0.0041, -0.0038, 0.0018, 0.0017, 0.0079, 0.0074
745, -0.0021, -0.0003, 0.0036, -0.0065, 0.0134, -0.0171, -0.0046, 0.0049, 0.0020, -0.0021, 0.0089, -0.0095
745, -0.0032, -0.0052, 0.0050, 0.0001, 0.0191, 0.0093, -0.0066, -0.0045, 0.0029, 0.0019, 0.0128, 0.0086
745, -0.0034, 0.0049, 0.0053, -0.0135, 0.0201, -0.0446, -0.0070, 0.0146, 0.0030, -0.0063, 0.0135, -0.0282
745, -0.0038, 0.0008, 0.0059, -0.0080, 0.0223, -0.0226, -0.0078, 0.0068, 0.0034, -0.0030, 0.0150, -0.0132
745, -0.0041, -0.0006, 0.0062, -0.0061, 0.0237, -0.0147, -0.0083, 0.0039, 0.0036, -0.0017, 0.0160, -0.0077
745, -0.0043, -0.0023, 0.0065, -0.0039, 0.0247, -0.0061, -0.0086, 0.0008, 0.0037, -0.0004, 0.0166, -0.0018
745, -0.0044, 0.0067, 0.0067, -0.0161, 0.0256, -0.0538, -0.0089, 0.0177, 0.0039, -0.0077, 0.0172, -0.0343
745, -0.0046, 0.0032, 0.0069, -0.0113, 0.0263, -0.0348, -0.0092, 0.0110, 0.0040, -0.0048, 0.0178, -0.0214
745, -0.0048, 0.0080, 0.0072, -0.0178, 0.0274, -0.0605, -0.0096, 0.0201, 0.0041, -0.0087, 0.0185, -0.0388
745, -0.0051, 0.0026, 0.0076, -0.0105, 0.0290, -0.0315, -0.0102, 0.0098, 0.0044, -0.0043, 0.0196, -0.0190
745, -0.0057, 0.0174, 0.0085, -0.0305, 0.0324, -0.1099, -0.0113, 0.0375, 0.0049, -0.0162, 0.0219, -0.0724
745, -0.0061, -0.0043, 0.0089, -0.0013, 0.0342, 0.0052, -0.0120, -0.0034, 0.0052, 0.0014, 0.0231, 0.0062
745, -0.0060, 0.0179, 0.0088, -0.0312, 0.0338, -0.1121, -0.0118, 0.0382, 0.0051, -0.0166, 0.0228, -0.0738
745, -0.0089, 0.0162, 0.0127, -0.0289, 0.0492, -0.1021, -0.0173, 0.0346, 0.0075, -0.0150, 0.0333, -0.0668
745, -0.0085, 0.0155, 0.0122, -0.0279, 0.0472, -0.0989, -0.0166, 0.0334, 0.0072, -0.0145, 0.0320, -0.0646
745, -0.0081, 0.0251, 0.0117, -0.0407, 0.0451, -0.1490, -0.0158, 0.0512, 0.0068, -0.0222, 0.0305, -0.0987
745, -0.0088, 0.0208, 0.0126, -0.0348, 0.0487, -0.1267, -0.0171, 0.0433, 0.0074, -0.0187, 0.0330, -0.0835
745, -0.0089, 0.0205, 0.0126, -0.0343, 0.0490, -0.1250, -0.0172, 0.0426, 0.0074, -0.0185, 0.0332, -0.0823
745, -0.0089, 0.0113, 0.0126, -0.0216, 0.0491, -0.0758, -0.0172, 0.0251, 0.0075, -0.0109, 0.0332, -0.0486
745, -0.0085, 0.0179, 0.0121, -0.0303, 0.0472, -0.1110, -0.0166, 0.0375, 0.0072, -0.0163, 0.0319, -0.0726
