EXP,damping,stiffness,ShoulderPan,ShoulderLift,Elbow,Wrist1,Wrist2,Wrist3
0,0.0,500.0,0.0862890076335878,0.059617709923664136,0.09174916030534352,0.01975282442748092,0.00868854961832061,0.043226106870229
1,0.0,722.2222222222222,0.17519027027027026,0.08846126126126126,0.07806954954954957,0.025585045045045048,0.02233405405405406,0.014782702702702702
2,0.0,944.4444444444445,0.06985923664122139,0.07046030534351146,0.09498877862595421,0.02168381679389313,0.008651068702290076,0.028059541984732827
3,0.0,1166.6666666666667,0.12956283185840708,0.057423716814159295,0.0971878761061947,0.4335332743362833,0.013697876106194691,0.024867876106194692
4,0.0,1388.888888888889,0.09920374269005852,0.05543520467836258,0.1550073099415205,0.03177818713450292,0.04142192982456141,0.00890485380116959
5,0.0,1611.111111111111,0.07274053846153847,0.11228469230769232,0.0494576153846154,0.024933999999999998,0.03732253846153846,0.0029721538461538457
6,0.0,1833.3333333333335,0.05064684523809524,0.11605809523809525,0.58790875,0.023116190476190478,0.003181607142857143,0.01833196428571429
7,0.0,2055.5555555555557,0.12523513043478265,0.10778878260869568,0.796114260869565,0.5163507826086957,0.016018173913043478,0.017139565217391305
8,0.0,2277.777777777778,0.07869786885245904,0.06853336065573772,0.077459262295082,0.031577950819672136,0.00694393442622951,0.03083581967213115
9,0.0,2500.0,0.10633242187500001,0.10713937500000002,0.06323804687500001,0.044356328125,0.00810375,0.029553359375
10,33.333333333333336,500.0,0.012035952380952382,0.033059761904761904,0.13230660714285714,0.052887976190476194,0.02182684523809524,0.07344178571428572
11,33.333333333333336,722.2222222222222,0.08249167938931298,0.1122626717557252,0.03275137404580153,0.017708625954198476,0.011578015267175574,0.12002053435114504
12,33.333333333333336,944.4444444444445,0.11563254237288138,0.06710661016949153,0.0031933898305084737,0.05488966101694917,0.02430703389830509,0.08347864406779662
13,33.333333333333336,1166.6666666666667,0.05798658536585367,0.07852869918699187,0.014885934959349593,0.05034016260162602,0.017477723577235777,0.09200081300813008
14,33.333333333333336,1388.888888888889,0.01585005780346821,0.01869797687861272,0.11015242774566476,0.046641098265895964,0.012093641618497112,0.07152734104046243
15,33.333333333333336,1611.111111111111,0.001019714285714286,0.03728692857142858,0.0027587142857142858,0.030911642857142867,0.002342857142857143,0.09293421428571429
16,33.333333333333336,1833.3333333333335,0.03899865384615385,0.04334775641025641,0.10971570512820515,0.030631923076923077,0.0014133974358974362,0.05695820512820514
17,33.333333333333336,2055.5555555555557,0.07100056074766356,0.020353831775700937,0.014158598130841124,0.04262757009345795,0.016934579439252338,0.07073514018691589
18,33.333333333333336,2277.777777777778,0.0787093548387097,0.02136733870967742,0.004660564516129033,0.04531056451612903,0.004713225806451613,0.028303629032258068
19,33.333333333333336,2500.0,0.03769634782608696,0.0356824347826087,0.01097678260869565,0.05793652173913044,0.012317478260869565,0.04983330434782609
20,66.66666666666667,500.0,0.020938029197080293,0.042356934306569345,0.003581386861313869,0.05503525547445256,0.006094160583941606,0.13573379562043797
21,66.66666666666667,722.2222222222222,0.02083301204819277,0.04902198795180723,0.15101909638554217,0.05467548192771086,0.02254012048192771,0.03451427710843374
22,66.66666666666667,944.4444444444445,0.031194262295081973,0.02899360655737705,0.10100795081967213,0.05036057377049181,0.09323680327868854,0.037869262295081974
23,66.66666666666667,1166.6666666666667,0.016769214659685866,0.037911570680628275,0.060661204188481685,0.11274052356020943,0.05609115183246073,0.022034659685863874
24,66.66666666666667,1388.888888888889,0.025462814814814813,0.07141311111111111,0.006041777777777778,0.042034370370370375,0.017899259259259264,0.10772022222222223
25,66.66666666666667,1611.111111111111,0.07829035714285715,0.02929303571428572,0.01711526785714286,0.10662687500000002,0.00843330357142857,0.10821562500000002
26,66.66666666666667,1833.3333333333335,0.008648109756097562,0.05670286585365854,0.1385712804878049,0.04187975609756098,0.015522012195121952,0.043944756097560975
27,66.66666666666667,2055.5555555555557,0.05168771428571429,0.036861523809523816,0.014376857142857143,0.07170666666666668,0.030471523809523816,0.06458523809523811
28,66.66666666666667,2277.777777777778,0.022038765432098765,0.04625777777777778,0.1408393827160494,0.03038722222222223,0.0030182098765432104,0.10220475308641977
