Time,Stiffness,Damping,R_shoulder_pan_p,R_shoulder_lift_p,R_elbow_p,R_wrist_1_p,R_wrist_2_p,R_wrist_3_p,R_shoulder_pan_v,R_shoulder_lift_v,R_elbow_v,R_wrist_1_v,R_wrist_2_v,R_wrist_3_v,S_shoulder_pan_p,S_shoulder_lift_p,S_elbow_p,S_wrist_1_p,S_wrist_2_p,S_wrist_3_p,S_shoulder_pan_v,S_shoulder_lift_v,S_elbow_v,S_wrist_1_v,S_wrist_2_v,S_wrist_3_v,C_shoulder_pan_p,C_shoulder_lift_p,C_elbow_p,C_wrist_1_p,C_wrist_2_p,C_wrist_3_p
5.102,600.0,40.0,0.0,-1.5707963267948966,-1.262198533973784,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4376535412747606e-06,-1.5723622655158631,-1.264420682353892,-1.5734223367877693,3.397888329338514e-05,-2.803365779373665e-08,-4.284614382498181e-05,0.01365718629173882,0.019367845269385064,0.022902877446680407,-0.00029267119588244404,3.2061795819949243e-07,0.0,-1.5707963267948966,-1.0092069047398877,-1.5707963267948966,0.0,0.0
5.202,600.0,40.0,0.0,-1.5707963267948966,-1.2416086028789612,-1.5707963267948966,0.0,0.0,0.0,0.0,0.4220614728166902,0.0,0.0,0.0,8.714564799777956e-05,-1.5766290490563337,-1.22414263455337,-1.5755102550823914,4.8085479270682526e-05,-1.0765753833685292e-06,-0.0013197026905332706,-0.1749099622307609,2.40789523538238,0.07087944152359206,-0.0007026045734752769,1.6665221411459653e-05,0.0,-1.5707963267948966,-1.1121673883469039,-1.5707963267948966,0.0,0.0
5.303,600.0,40.0,0.0,-1.5707963267948966,-1.187724186590338,-1.5707963267948966,0.0,0.0,0.0,0.0,0.7436571475883025,0.0,0.0,0.0,5.75697529319241e-06,-1.5729046182718578,-1.1107992975079246,-1.5723161928290048,3.260425028837109e-05,7.746352825418468e-08,-0.0021591862018831894,0.04785116664027175,0.9923440893290995,0.04331875358701191,-0.000626513457816157,7.843496236910846e-06,0.0,-1.5707963267948966,-0.9476177975661169,-1.5707963267948966,0.0,0.0
5.402,600.0,40.0,0.0,-1.5707963267948966,-1.1049468850917448,-1.5707963267948966,0.0,0.0,0.0,0.0,0.7556943304449049,0.0,0.0,0.0,0.00015402843393427502,-1.5732692050250896,-1.0731476591744389,-1.5734170104655891,4.067487674807216e-05,-5.164726560163385e-07,-0.004432028524920665,0.058965777903554985,1.6191039384400618,0.06749211283766064,-0.0008075279839564762,1.9907153530310292e-05,0.0,-1.5707963267948966,-0.8426620189992622,-1.5707963267948966,0.0,0.0
5.502,600.0,40.0,0.0,-1.5707963267948966,-1.0210795732072429,-1.5707963267948966,0.0,0.0,0.0,0.0,0.5442814626813133,0.0,0.0,0.0,-9.480863233469283e-05,-1.5713404106055997,-0.9954182427544052,-1.5713310895417845,2.6827958888998022e-05,3.4868760360336864e-07,-0.0021087099365504807,0.024061747833839187,0.4381498205740206,0.024743562845980706,-0.0005061696229171466,2.276077029966479e-06,0.0,-1.5707963267948966,-0.8017390725277087,-1.5707963267948966,0.0,0.0
5.602,600.0,40.0,0.0,-1.5707963267948966,-0.9338371304071771,-1.5707963267948966,0.0,0.0,0.0,0.0,1.0874671904080744,0.0,0.0,0.0,6.795278860163945e-05,-1.5760004098810205,-0.9194671521522718,-1.5720698504281725,3.219241649892006e-05,1.8827764410690736e-08,-0.006487374590905707,0.10504043300441894,0.9975347234517183,0.04658812088140964,-0.0006778655234389872,1.1138094422530435e-05,0.0,-1.5707963267948966,-0.8767791516112381,-1.5707963267948966,0.0,0.0
5.703,600.0,40.0,0.0,-1.5707963267948966,-0.8613887773292532,-1.5707963267948966,0.0,0.0,0.0,0.0,0.9418687515525471,0.0,0.0,0.0,-1.1484773498026103e-05,-1.576726653910285,-0.8654860752788562,-1.5715092550187109,2.8027911348024913e-05,2.472112973428172e-07,-0.00505555828004093,0.1110964113889887,0.5728518094304423,0.03139257519044606,-0.0005779543303716825,4.899706314657187e-06,0.0,-1.5707963267948966,-0.7820173861941547,-1.5707963267948966,0.0,0.0
5.804,600.0,40.0,0.0,-1.5707963267948966,-0.7816634897261618,-1.5707963267948966,0.0,0.0,0.0,0.0,1.1077408927612873,0.0,0.0,0.0,-7.951653834172398e-05,-1.5732955703198814,-0.8463131796430488,-1.5714594539063262,2.5449077326062098e-05,2.0606664699504293e-07,0.0013357963498511606,0.038230318271224764,0.1521985577440788,0.010823864812463032,-0.00039219552839100925,-2.7591234365024996e-06,0.0,-1.5707963267948966,-0.6203040090519955,-1.5707963267948966,0.0,0.0
5.903,600.0,40.0,0.0,-1.5707963267948966,-0.6929117498571227,-1.5707963267948966,0.0,0.0,0.0,0.0,0.6225414954773497,0.0,0.0,0.0,-0.00012297839594064002,-1.575327828547721,-0.7433186868565695,-1.5711593156514745,2.286903233302256e-05,3.309033707551942e-07,-0.0034513347978841723,0.08765993632839728,0.377557113399347,0.02183430486523213,-0.00047971213177707767,1.534716371541526e-06,0.0,-1.5707963267948966,-0.5643847354878722,-1.5707963267948966,0.0,0.0
6.002,600.0,40.0,0.0,-1.5707963267948966,-0.6194323168007845,-1.5707963267948966,0.0,0.0,0.0,0.0,1.1514371672658172,0.0,0.0,0.0,0.0004907648679774288,-1.5763193234215573,-0.6537027169641579,-1.573582126453174,3.895394055623558e-05,-7.770417637338288e-07,-0.005420756728085656,0.0999775057784477,2.644470226600735,0.06219315879889193,-0.0005743700510403154,2.3802378131256338e-05,0.0,-1.5707963267948966,-0.5520160853116932,-1.5707963267948966,0.0,0.0
6.103,600.0,40.0,0.0,-1.5707963267948966,-0.5553911239648546,-1.5707963267948966,0.0,0.0,0.0,0.0,0.534557930773323,0.0,0.0,0.0,9.060284851199436e-05,-1.5758793692094764,-0.5371411494784335,-1.5724220534823354,2.3031306520965267e-05,-4.604795935218046e-07,0.002893136233403564,-0.2853428636789132,2.4426494876079143,0.03968945591010077,-0.0002023324284657254,2.018770667679242e-05,0.0,-1.5707963267948966,-0.45821431174436894,-1.5707963267948966,0.0,0.0
6.202,600.0,40.0,0.0,-1.5707963267948966,-0.4654782017864214,-1.5707963267948966,0.0,0.0,0.0,0.0,0.8904236310358323,0.0,0.0,0.0,-0.000680955336459562,-1.5680161197749083,-0.517324035174936,-1.5700374590422785,6.5868912593490014e-06,6.604924645432551e-07,0.009472542545545899,-0.04115440673029372,-0.20114364693042502,-0.011238667756702386,-0.00010591889372484988,-1.0069029447238645e-05,0.0,-1.5707963267948966,-0.2979320219882472,-1.5707963267948966,0.0,0.0
6.302,600.0,40.0,0.0,-1.5707963267948966,-0.381372404887542,-1.5707963267948966,0.0,0.0,0.0,0.0,0.9607113816151299,0.0,0.0,0.0,-5.541259387124138e-05,-1.5730151394570961,-0.4179808361114962,-1.5709727612171143,1.979738997409061e-05,4.0088063479547283e-07,0.0011537601867428625,0.37776637128199997,0.17070972442802881,0.00358984752266974,-0.00028432463056370257,-4.690709672600216e-06,0.0,-1.5707963267948966,-0.09033499690438884,-1.5707963267948966,0.0,0.0
6.402,600.0,40.0,0.0,-1.5707963267948966,-0.2904009976728936,-1.5707963267948966,0.0,0.0,0.0,0.0,0.8712695331785288,0.0,0.0,0.0,-0.00015949724433535412,-1.5693706035053228,-0.341342783106177,-1.5712671736756225,1.2941118605089888e-05,1.60546280650975e-08,0.0028357705991962265,-0.013641020071684199,1.1388514385341653,0.012985159436900642,-0.0001803076603790626,4.131010930329594e-06,0.0,-1.5707963267948966,-0.24369606161756135,-1.5707963267948966,0.0,0.0
6.502,600.0,40.0,0.0,-1.5707963267948966,-0.2168586552852112,-1.5707963267948966,0.0,0.0,0.0,0.0,0.5465923332548615,0.0,0.0,0.0,-0.00041974130054489036,-1.569822808258418,-0.2534740965602095,-1.5707463925244576,7.966293478892999e-06,2.7294048017766786e-07,-0.03044164358896283,0.06013807644827264,0.7406019962285797,0.03849478681222645,-0.000601712315034725,1.2190576611844535e-05,0.0,-1.5707963267948966,0.009476008339981024,-1.5707963267948966,0.0,0.0
6.602,600.0,40.0,0.0,-1.5707963267948966,-0.1312855974873539,-1.5707963267948966,0.0,0.0,0.0,0.0,0.9110789644736418,0.0,0.0,0.0,0.0011928459768546535,-1.5770555543049098,-0.16934894897953923,-1.5723506807651213,2.4611713176642906e-05,-5.097362166864422e-07,-0.022057573471932445,0.11691648363524786,2.0438042295874506,0.03617132856394363,-0.00038785414018968536,1.6511543899063305e-05,0.0,-1.5707963267948966,0.07629488223732844,-1.5707963267948966,0.0,0.0
