Time,Stiffness,Damping,R_shoulder_pan_p,R_shoulder_lift_p,R_elbow_p,R_wrist_1_p,R_wrist_2_p,R_wrist_3_p,R_shoulder_pan_v,R_shoulder_lift_v,R_elbow_v,R_wrist_1_v,R_wrist_2_v,R_wrist_3_v,S_shoulder_pan_p,S_shoulder_lift_p,S_elbow_p,S_wrist_1_p,S_wrist_2_p,S_wrist_3_p,S_shoulder_pan_v,S_shoulder_lift_v,S_elbow_v,S_wrist_1_v,S_wrist_2_v,S_wrist_3_v,C_shoulder_pan_p,C_shoulder_lift_p,C_elbow_p,C_wrist_1_p,C_wrist_2_p,C_wrist_3_p
4.102,600.0,0.0,-1.5832661026634547,-1.5987760048798414,1.0893005098953348,-1.5968038136467797,0.0,0.0,0.0,0.0,0.3035464786710626,0.0,0.0,0.0,-1.5805785169529212,-1.5996205182211511,1.0993410469178586,-1.5968352511950918,3.834307473026959e-05,2.863802780944353e-07,0.06476771152607719,0.5363813829089475,0.11757299445584442,-0.01138119160780556,0.008739320201987442,-0.00044826898331357557,-1.5832661026634547,-1.5987760048798414,1.2864460567739027,-1.5968038136467797,0.0,0.0
4.203,600.0,0.0,-1.5832661026634547,-1.5987760048798414,1.1654853905765798,-1.5968038136467797,0.0,0.0,0.0,0.0,1.0009023418790262,0.0,0.0,0.0,-1.5830708362590717,-1.5983091777003962,1.3426794020405788,-1.596768938483949,-1.697091338285252e-05,3.520184090114501e-07,0.0263164216245923,-0.06364475220174244,3.1415995778086274,0.017556410949589003,0.0005577558529605315,-0.016592005417465652,-1.5832661026634547,-1.5987760048798414,1.4076938466827662,-1.5968038136467797,0.0,0.0
4.303,600.0,0.0,-1.5832661026634547,-1.5987760048798414,1.2346463695028191,-1.5968038136467797,0.0,0.0,0.0,0.0,0.4277015653070476,0.0,0.0,0.0,-1.584020519503794,-1.600305882727683,1.3771941029260604,-1.5967652100584226,-3.711666986780662e-05,1.6152289315620271e-06,-0.43691148395664736,0.6695632394151521,0.24273822841582762,0.0022367294425370806,-0.002588318721292581,1.2344680554701838e-06,-1.5832661026634547,-1.5987760048798414,1.3817857436796421,-1.5968038136467797,0.0,0.0
4.403,600.0,0.0,-1.5832661026634547,-1.5987760048798414,1.3002106234627724,-1.5968038136467797,0.0,0.0,0.0,0.0,0.6999907830957908,0.0,0.0,0.0,-1.5859672902606419,-1.5954867595771303,1.3745047096992438,-1.596807288003646,3.289307052524246e-08,-7.345742805069776e-07,-0.43837772058430413,-1.1469359966553188,-0.3413121900431547,0.013466397847364465,-0.012944517101952512,0.0005423661823316754,-1.5832661026634547,-1.5987760048798414,1.393163652987241,-1.5968038136467797,0.0,0.0
4.503,666.6666870117188,0.0,-1.5832661026634547,-1.5987760048798414,1.2751205641595886,-1.5968038136467797,0.0,0.0,0.0,0.0,-0.7921882077486144,0.0,0.0,0.0,-1.5817760073370752,-1.606181348724616,1.3988914089591538,-1.5954851616804762,-0.0006948372586973439,1.612197592596179e-05,-0.5143644309660172,1.4383360204965354,-1.3463649506731394,-0.18979766522506275,0.08500109455271102,-0.0012968480090202396,-1.5832661026634547,-1.5987760048798414,1.1512743633901432,-1.5968038136467797,0.0,0.0
4.603,666.6666870117188,0.0,-1.5832661026634547,-1.5987760048798414,1.2067371221885894,-1.5968038136467797,0.0,0.0,0.0,0.0,-0.8870609034091067,0.0,0.0,0.0,-1.5819939870722983,-1.5979765488802453,1.4063077799628065,-1.5968124811677717,9.277373360473886e-06,-1.7768570291004145e-07,-0.7101763794598331,-0.06777855245765547,-1.1761113258713003,0.01668821523273667,-0.015465586064308413,0.0006327676601700587,-1.5832661026634547,-1.5987760048798414,0.9192381152148259,-1.5968038136467797,0.0,0.0
4.703,666.6666870117188,0.0,-1.5832661026634547,-1.5987760048798414,1.112669153179719,-1.5968038136467797,0.0,0.0,0.0,0.0,-1.0770661429526744,0.0,0.0,0.0,-1.584271256120425,-1.599220111951258,1.2784938908183066,-1.596795703252904,-8.877883958232009e-06,6.696155905898203e-08,0.11902500813880447,-0.40183781884787195,-1.6351614682326947,0.005321786483926935,-0.004139513828763412,0.00029484037830109075,-1.5832661026634547,-1.5987760048798414,0.8795012506054463,-1.5968038136467797,0.0,0.0
4.804,666.6666870117188,0.0,-1.5832661026634547,-1.5987760048798414,1.0135773182299488,-1.5968038136467797,0.0,0.0,0.0,0.0,-0.8676217110405539,0.0,0.0,0.0,-1.5836174500728106,-1.598674297085846,1.076916564749119,-1.5968002306267572,-4.155804598006007e-06,-6.276391595632961e-08,0.08842716807131389,-0.2093453175605148,-2.1003985332805066,0.004245639757905768,-0.0030279819102037686,0.0002409984261073479,-1.5832661026634547,-1.5987760048798414,0.908549811911614,-1.5968038136467797,0.0,0.0
4.903,666.6666870117188,0.0,-1.5832661026634547,-1.5987760048798414,0.9331342489059669,-1.5968038136467797,0.0,0.0,0.0,0.0,-0.7810638193581964,0.0,0.0,0.0,-1.5839667236497745,-1.5984517899767698,0.910760812495612,-1.5967958364109587,-1.1825468832211434e-05,-2.0390896981754047e-07,-0.09128910084725392,-0.09886793299977982,-2.383833308617405,0.007329313724034193,-0.006622573188565213,0.0002558260436101494,-1.5832661026634547,-1.5987760048798414,0.8580586278848199,-1.5968038136467797,0.0,0.0
5.003,666.6666870117188,0.0,-1.5832661026634547,-1.5987760048798414,0.8627803678423982,-1.5968038136467797,0.0,0.0,0.0,0.0,-1.050347011447862,0.0,0.0,0.0,-1.5843604720169426,-1.6001060124878728,0.8334503113150478,-1.5967514947788088,-4.847734219652089e-05,9.909471181948825e-07,0.4682628155203054,0.3847975826129999,-2.3360199796705587,-0.009325011743533916,0.009927373009028604,0.0001684344709559224,-1.5832661026634547,-1.5987760048798414,0.6888251297120167,-1.5968038136467797,0.0,0.0
