Time,Stiffness,Damping,R_shoulder_pan_p,R_shoulder_lift_p,R_elbow_p,R_wrist_1_p,R_wrist_2_p,R_wrist_3_p,R_shoulder_pan_v,R_shoulder_lift_v,R_elbow_v,R_wrist_1_v,R_wrist_2_v,R_wrist_3_v,S_shoulder_pan_p,S_shoulder_lift_p,S_elbow_p,S_wrist_1_p,S_wrist_2_p,S_wrist_3_p,S_shoulder_pan_v,S_shoulder_lift_v,S_elbow_v,S_wrist_1_v,S_wrist_2_v,S_wrist_3_v,C_shoulder_pan_p,C_shoulder_lift_p,C_elbow_p,C_wrist_1_p,C_wrist_2_p,C_wrist_3_p
4.704,600.0,0.0,-1.417580386863678,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,0.0006253775593555423,0.0,0.0,0.0,0.0,0.0,-1.3897491764110754,-1.5681495441455213,0.0010437819066584355,-1.5967252626420716,7.790087028075934e-07,2.5119939997123605e-07,0.8408800647031781,-0.17958723876375346,0.07216559020491062,0.032219141330211795,-0.022590492812003315,0.0008862221835365535,-1.1490125238418332,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
4.803,600.0,0.0,-1.408467538824988,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,0.29848616632331315,0.0,0.0,0.0,0.0,0.0,-1.2613268881155468,-1.5757748401366907,-0.0013023406487313654,-1.597081859912033,0.0002811900197406115,2.6738091526614043e-06,0.6591104652946456,-0.31155835565938067,0.818138666364719,0.16411533809482912,-0.05743670731892917,0.006015641376879406,-1.1192625585624456,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
4.903,600.0,0.0,-1.3740886733385436,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,0.47673607401346596,0.0,0.0,0.0,0.0,0.0,-1.2181948637328415,-1.5784687607373604,0.001971792637712871,-1.5962855747460996,-0.0003213714379659015,1.3018775173130986e-05,0.440436377396449,1.1314458533329275,-1.3801149248516047,-0.3509878870470897,0.2127697432481932,-0.008450803628431536,-1.1680365544870577,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
5.003,600.0,0.0,-1.293489003108646,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,1.0220533016585216,0.0,0.0,0.0,0.0,0.0,-1.1884195243232651,-1.5665895975370074,0.0011941610426800427,-1.5968008964170297,7.691902163679053e-05,-2.662907111246032e-06,2.161677603647121,0.3546762652883086,0.13448107132162124,0.00791468849505257,0.0022258367495746013,-7.347849838867937e-05,-1.0139631262209718,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
5.102,600.0,0.0,-1.197297521645761,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,0.5487822628751654,0.0,0.0,0.0,0.0,0.0,-1.121820390205054,-1.577027324797355,-0.0032034725226953564,-1.5969437750095126,-0.000188210603917589,-3.583097059898568e-06,-0.9520359478082596,-0.10704634258222344,-0.9357931951618118,-0.11999867647809424,-0.005156904563234705,-0.005107875871596076,-1.0970666116248804,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
5.203,600.0,0.0,-1.1265233010028153,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,0.8243972491238941,0.0,0.0,0.0,0.0,0.0,-1.0444400476249025,-1.5825195619134254,0.0018727482723714683,-1.5962727915728672,-0.00034154673625281883,1.4946372925632034e-05,-0.6536730227180035,-0.7612351696691049,1.3478878793425013,0.44192341997012197,-0.31280062043936174,0.013961801986173446,-0.909856565368387,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
5.303,600.0,0.0,-1.0328030137455935,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,0.8477375911911526,0.0,0.0,0.0,0.0,0.0,-0.9991533261832413,-1.5836400869420761,0.0007487952040401274,-1.5966967668184078,-2.7187442561348607e-05,-1.846526121573952e-07,-0.13300104451294492,-1.0582199088952449,1.5950928780519076,0.5857477009559603,-0.4134214044567397,0.021717277660674564,-0.9533879048143449,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
5.403,600.0,0.0,-0.9633778118900862,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,0.7432617370620077,0.0,0.0,0.0,0.0,0.0,-0.8722654847287892,-1.577075394855031,-0.003640405451340563,-1.5970479046081347,-0.0001296236606790978,-6.313268687267405e-06,-0.7784784053580681,-0.23384007458165487,-0.992994499846324,-0.14719937161432295,0.023529750197176832,-0.005303920938231437,-0.821493746508866,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
5.503,600.0,0.0,-0.9003280872993846,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,0.5227348392400305,0.0,0.0,0.0,0.0,0.0,-0.8192147166031655,-1.5619602246141226,0.0018371128883321462,-1.596322459527197,-0.0002874621997322428,1.1695928452207659e-05,0.15403780337191478,0.7385162084628296,-1.5569532154486647,0.04210640359621298,-0.15018832052950293,0.01788462266740065,-0.6828667663727814,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
5.603,600.0,0.0,-0.8319237852003143,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0,0.4563272007876683,0.0,0.0,0.0,0.0,0.0,-0.8490201497330597,-1.5686361036766787,-0.0006080426541473299,-1.5967026257728059,-0.0003015771485654067,-7.321925812996457e-06,-1.2282080831154305,0.3975653095110578,-0.8846253485059014,-0.11193293525451779,-0.021892536546942395,-0.005895129176364118,-0.5998787373894621,-1.5707963267948966,0.0,-1.5968038136467797,0.0,0.0
