Time,Stiffness,Damping,R_shoulder_pan_p,R_shoulder_lift_p,R_elbow_p,R_wrist_1_p,R_wrist_2_p,R_wrist_3_p,R_shoulder_pan_v,R_shoulder_lift_v,R_elbow_v,R_wrist_1_v,R_wrist_2_v,R_wrist_3_v,S_shoulder_pan_p,S_shoulder_lift_p,S_elbow_p,S_wrist_1_p,S_wrist_2_p,S_wrist_3_p,S_shoulder_pan_v,S_shoulder_lift_v,S_elbow_v,S_wrist_1_v,S_wrist_2_v,S_wrist_3_v,C_shoulder_pan_p,C_shoulder_lift_p,C_elbow_p,C_wrist_1_p,C_wrist_2_p,C_wrist_3_p
4.502,600.0,0.0,0.0,-1.5707963267948966,0.0,0.04015599402792601,0.0,0.0,0.0,0.0,0.0,0.7984017848330545,0.0,0.0,-2.072757830746997e-06,-1.5709179000986586,0.00016460365741890809,0.05454270425779971,-5.139548904270099e-09,-5.3111939508006514e-09,0.0011987504442597383,-0.017268041578101162,-0.004192721134585078,2.430986173613912,-1.1453998374848853e-05,-5.349843159901694e-07,0.0,-1.5707963267948966,0.0,0.11010805395943689,0.0,0.0
4.602,600.0,0.0,0.0,-1.5707963267948966,0.0,0.10920567904948879,0.0,0.0,0.0,0.0,0.0,0.6591408784213767,0.0,0.0,0.0005053580609853505,-1.5707517188466378,6.591103041135825e-05,0.1710424364719638,0.00023122501176731582,-1.05683101807932e-05,0.04024155417120942,0.056707400654410975,-0.20115241871726547,0.2976309885541614,-0.2238737101894945,0.005635617652000806,0.0,-1.5707963267948966,0.0,0.15753277703158464,0.0,0.0
4.702,600.0,0.0,0.0,-1.5707963267948966,0.0,0.18267866996854654,0.0,0.0,0.0,0.0,0.0,0.7724071895153827,0.0,0.0,-7.145495759214639e-05,-1.5706613045276296,9.416212819885137e-05,0.2353819782737835,2.4418581576380987e-06,2.2448568406313896e-07,-0.02140084626949731,-0.02322949334843261,0.0005841749181190516,1.8946339190293873,0.000474820621359368,2.2230167880483927e-05,0.0,-1.5707963267948966,0.0,0.30785562685732804,0.0,0.0
4.802,600.0,0.0,0.0,-1.5707963267948966,0.0,0.26121305366515535,0.0,0.0,0.0,0.0,0.0,0.5728341271510577,0.0,0.0,-1.7031903859858632e-05,-1.5705702244183488,6.977004982167309e-05,0.3665470728207414,-1.2128999189754882e-06,6.51235737693585e-08,0.06370797731049661,-0.009578061981361883,-0.014024109552708292,2.974814320852453,-0.0026383016256303795,-0.00015495142145977532,0.0,-1.5707963267948966,0.0,0.49300805186103236,0.0,0.0
4.902,600.0,0.0,0.0,-1.5707963267948966,0.0,0.33575402550075767,0.0,0.0,0.0,0.0,0.0,0.6092589050400484,0.0,0.0,0.0001376505621428741,-1.5710983292625116,-6.355706924831612e-05,0.4200324355467524,-1.9378410998125e-06,-2.1867890250483948e-07,0.03403452877975094,-0.02030871511537484,0.0016014953024853775,2.328004930053856,-0.0011729495107536444,-4.807469024984793e-05,0.0,-1.5707963267948966,0.0,0.5732856642559738,0.0,0.0
5.002,600.0,0.0,0.0,-1.5707963267948966,0.0,0.4232505557303069,0.0,0.0,0.0,0.0,0.0,0.9761079940065716,0.0,0.0,0.00025536036427622805,-1.5710268233872429,-1.5809859306004144e-05,0.5230287259669674,-1.1298154930962922e-05,-5.372192662276748e-07,0.010344700754817028,0.013096606486736653,-0.006806535722200289,-1.287061679519255,-0.0007477728518677541,-6.755501304856405e-05,0.0,-1.5707963267948966,0.0,0.6454746570427203,0.0,0.0
5.102,600.0,0.0,0.0,-1.5707963267948966,0.0,0.49491865844676897,0.0,0.0,0.0,0.0,0.0,0.7820017593620926,0.0,0.0,0.000529415748798899,-1.572222183242525,-0.0004400293410517832,0.616711875476148,-1.911273212200959e-05,-2.6451476413340954e-06,0.01732756010757253,0.06340281650027636,0.019260499071508855,-0.9694361102644559,-0.0016584816182894065,-9.310729924511844e-06,0.0,-1.5707963267948966,0.0,0.6504230701227779,0.0,0.0
5.203,600.0,0.0,0.0,-1.5707963267948966,0.0,0.5840512644322841,0.0,0.0,0.0,0.0,0.0,0.829033771331938,0.0,0.0,0.00015263268004949153,-1.5709720954268418,-4.762508676015316e-05,0.6459386702801954,-6.998718953308032e-06,-4.954237157514245e-07,-0.028388577334512517,0.18261418765873752,0.05117798331280953,3.0181799044627584,-0.0007921245618976752,0.00013760607317861903,0.0,-1.5707963267948966,0.0,0.6803882714738488,0.0,0.0
5.302,600.0,0.0,0.0,-1.5707963267948966,0.0,0.6552087827113038,0.0,0.0,0.0,0.0,0.0,0.589267914632921,0.0,0.0,9.26614912151071e-05,-1.570997528615252,-8.799812287185918e-05,0.7460946328188136,-8.8850857820264e-06,-2.9698059265595844e-07,0.025443755750238377,0.054794439559839446,0.018872403679873254,3.1415950504347743,-0.006552720345707575,0.0053627913624844,0.0,-1.5707963267948966,0.0,0.9122254381641015,0.0,0.0
5.402,600.0,0.0,0.0,-1.5707963267948966,0.0,0.7452498244157018,0.0,0.0,0.0,0.0,0.0,0.8386593801749924,0.0,0.0,6.611622905394346e-05,-1.5705678275733679,0.00017112347693206868,0.8225270232089515,-3.604218193646821e-06,8.642697145884241e-07,0.09187510447799063,-0.06738440877751295,0.011905876994740503,-1.3654695362269864,-0.00383259153513856,-0.00011786570856399052,0.0,-1.5707963267948966,0.0,0.806428944669689,0.0,0.0
5.502,600.0,0.0,0.0,-1.5707963267948966,0.0,0.8208973404152272,0.0,0.0,0.0,0.0,0.0,0.807498740617927,0.0,0.0,-6.929242535526836e-06,-1.5707939299499156,-0.00032752684458551667,0.9126795534819868,3.03204076016005e-05,-6.526513379288581e-06,-0.0038451440224444855,0.07008431316825688,-0.0004842765662215538,0.023101341204540157,-0.015426898447988507,0.0007770936963097274,0.0,-1.5707963267948966,0.0,0.9416810850590271,0.0,0.0
